Record Length,Analog:3500,
Sample Interval,Analog:2.000000E-09,
Vertical Units,CH1:V, CH2:V, CH3:V,,
Vertical Scale,CH1:+2.000000E+00, CH2:+2.000000E+00, CH3:+5.000000E-04,,
Vertical Offset,CH1:+0.000000E+00, CH2:+0.000000E+00, CH3:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+5.000000E-01,
Model Number,T3DSO1204 ,
Serial Number,T0101C21531109,
Software Version,8.3.6.1.37R8,
Source,CH1,CH2,CH3
Second,Value,Value,Value
-5.580000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-5.560000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-5.540000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-5.520000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-5.500000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-5.480000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-5.460000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-5.440000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-5.420000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-5.400000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-5.380000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-5.360000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-5.340000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-5.320000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-5.300000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-5.280000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-5.260000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-5.240000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-5.220000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-5.200000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-5.180000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-5.160000E-07,-8.000000E-02,+0.000000E+00,-2.200000E-04
-5.140000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-5.120000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-5.100000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-5.080000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-5.060000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-5.040000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-5.020000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-5.000000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-4.980000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-4.960000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-4.940000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-4.920000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-4.900000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-4.880000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-4.860000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-4.840000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-4.820000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-4.800000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-4.780000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-4.760000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-4.740000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-4.720000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-4.700000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-4.680000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-4.660000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-4.640000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-4.620000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-4.600000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
