Record Length,Analog:3500,
Sample Interval,Analog:2.000000E-09,
Vertical Units,CH1:V, CH2:V, CH3:V,,
Vertical Scale,CH1:+2.000000E+00, CH2:+5.000000E-02, CH3:+2.000000E+00,,
Vertical Offset,CH1:+0.000000E+00, CH2:+0.000000E+00, CH3:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+5.000000E-01,
Model Number,T3DSO1204 ,
Serial Number,T0101C21531109,
Software Version,8.3.6.1.37R8,
Source,CH1,CH2,CH3
Second,Value,Value,Value
-6.920000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-6.900000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-6.880000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-6.860000E-07,-8.000000E-02,-2.000000E-03,+0.000000E+00
-6.840000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-6.820000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-6.800000E-07,-1.600000E-01,-2.000000E-03,-8.000000E-02
-6.780000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-6.760000E-07,-1.600000E-01,-2.000000E-03,-8.000000E-02
-6.740000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-6.720000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-6.700000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-6.680000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-6.660000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-6.640000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-6.620000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-6.600000E-07,-1.600000E-01,-2.000000E-03,-8.000000E-02
-6.580000E-07,-1.600000E-01,-2.000000E-03,-8.000000E-02
-6.560000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-6.540000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-6.520000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-6.500000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-6.480000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-6.460000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
