Record Length,Analog:3500,
Sample Interval,Analog:2.000000E-09,
Vertical Units,CH1:V, CH2:V, CH3:V,,
Vertical Scale,CH1:+2.000000E+00, CH2:+5.000000E+00, CH3:+5.000000E-02,,
Vertical Offset,CH1:+0.000000E+00, CH2:+0.000000E+00, CH3:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+5.000000E-01,
Model Number,T3DSO1204 ,
Serial Number,T0101C21531109,
Software Version,8.3.6.1.37R8,
Source,CH1,CH2,CH3
Second,Value,Value,Value
-5.500000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.480000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.460000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.440000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.420000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.400000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.380000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.360000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.340000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.320000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.300000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.280000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.260000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.240000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.220000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.200000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.180000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.160000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.140000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.120000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.100000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.080000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.060000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
-5.040000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-03
